1	5	10	5													
	331	318	228	317	198											
1																
7	74	19	48	42	44											
8	66	22	53	6	49											
9	52	16	5	70	33											
12	38	23	42	41	17											
29	37	28	3	69	25											
50	58	46	53	51	45											
65	3	54	12	15	53											
81	34	51	32	35	12											
90	37	81	13	28	53											
93	13	58	57	55	2											
2																
2	78	4	46	48	58											
21	67	19	17	33	41											
31	47	69	54	79	9						
39	45	24	43	32	11						
49	16	33	32	1	21						
51	48	81	28	54	31						
55	4	63	65	59	32						
66	46	58	20	20	3						
78	32	73	2	48	10						
79	38	70	16	64	17						
3											
17	53	45	32	37	14						
22	23	25	49	11	2						
29	42	19	1	39	48						
62	23	56	22	65	51						
72	24	48	58	49	20						
77	33	46	34	49	50						
79	12	66	8	5	29						
85	8	81	64	10	33
87	2	70	9	7	2
95	22	82	51	19	4
4					
12	70	16	29	33	22
18	49	5	51	26	16
36	29	49	1	52	5
36	5	41	50	3	29
37	61	14	15	66	3
39	19	68	31	40	13
68	30	74	41	64	18
77	37	76	40	3	24
78	55	49	23	38	7
86	1	54	17	47	50
5					
1	79	8	11	35	58
1	61	6	61	68	52
7	59	6	42	21	6
17	79	48	35	11	31
19	58	17	37	37	44
22	66	46	21	54	20
32	50	43	17	27	29
42	20	43	61	60	10
45	8	65	7	38	12
48	24	31	43	55	48

2	5	10	5		
	309	309	334	206	226
1					
7	38	69	59	54	74
13	38	50	74	49	69
19	25	68	30	27	64
23	21	39	20	22	71
29	57	33	70	21	58
38	52	65	10	16	55
38	20	21	27	31	70
62	61	57	63	8	49
83	26	3	45	5	40
97	22	24	21	1	40
2					
8	26	77	65	54	71
12	67	72	54	49	60
24	63	27	49	37	60
25	32	38	64	47	34
34	54	30	82	26	59
44	7	29	45	36	73
67	4	56	82	32	30
72	21	53	83	26	50
87	16	10	1	1	20
97	46	12	7	4	40
3					
17	26	41	18	53	48
36	42	32	76	45	25
44	10	45	18	37	64
49	39	44	12	42	18
61	23	32	78	20	71
67	7	21	17	16	56
75	14	31	55	3	7
81	57	22	61	9	23
89	47	20	1	12	13
99	49	6	51	1	13
4					
21	10	44	3	40	46
30	30	42	24	47	74
38	1	43	40	27	22
43	8	46	63	32	7
57	4	33	20	21	29
68	72	38	77	34	21
72	7	6	68	12	6
74	29	21	55	6	17
74	51	32	26	9	7
80	72	33	32	2	58
5					
13	39	71	14	49	67
13	73	54	11	42	36
63	7	33	52	23	23
68	17	6	31	15	12
69	39	29	30	20	59
71	31	35	3	12	4
81	74	8	22	4	3
83	41	11	7	9	47
89	39	12	4	7	10
90	72	5	16	7	12

3	5	10	5		
	184	225	219	167	174
1					
5	33	2	6	6	19
6	13	64	13	9	47
8	34	2	9	12	37
13	46	16	42	42	30
30	38	22	4	29	36
33	34	42	52	11	39
37	18	55	62	22	31
75	27	45	17	1	46
94	20	36	62	36	8
99	2	39	64	10	5
2					
2	45	58	23	49	46
14	16	56	2	41	43
15	44	16	63	17	28
28	33	59	9	42	38
55	38	57	12	24	45
81	29	42	18	49	27
82	4	5	55	18	43
83	10	3	35	47	30
85	17	54	20	21	19
100	4	70	39	5	5
3					
2	49	69	16	5	31
2	49	16	45	20	9
3	38	51	22	3	46
8	41	36	39	49	37
43	23	25	9	4	8
60	22	18	43	42	44
74	27	37	39	43	28
82	12	21	39	41	48
88	21	6	54	11	33
92	36	1	52	19	47
4					
2	31	61	63	17	36
32	25	32	19	12	10
41	26	22	22	20	13
70	33	21	19	41	23
81	32	52	46	24	31
81	23	50	45	36	1
89	11	2	3	51	38
92	4	15	11	19	9
98	10	56	49	28	38
98	12	6	9	12	18
5					
4	48	19	13	47	12
12	29	40	50	28	21
17	21	16	60	32	29
24	29	23	23	24	18
28	47	27	14	2	31
39	43	18	14	13	48
45	38	48	12	27	41
55	6	13	61	24	49
91	11	9	34	36	4
98	2	65	24	43	6

4	5	10	5		
	335	261	278	255	281
1					
6	53	36	56	15	25
18	72	28	5	34	10
20	61	3	71	18	38
24	42	21	56	54	1
26	73	57	76	43	58
51	69	22	46	36	14
64	25	24	18	22	60
91	21	26	41	21	31
92	12	40	56	13	70
99	3	51	3	49	36
2					
35	44	21	24	4	33
40	41	21	67	1	13
41	57	5	42	46	2
62	29	15	24	45	53
69	11	62	45	15	8
80	15	64	38	44	50
86	19	20	2	49	48
88	8	63	34	1	32
89	34	62	22	15	35
96	3	56	30	32	70
3					
2	77	26	81	25	22
10	75	4	66	27	50
11	59	25	62	29	24
15	67	41	50	58	38
54	33	36	23	39	39
62	20	68	71	39	2
67	53	43	2	15	63
